VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,141354.24,11/22/2021
ATI HOLDING LLC,ADMINISTRATION & HR,400.00,3/4/2021
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,491.55,9/9/2021
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,107.28,9/29/2021
HOLLAND & KNIGHT LLP,LEGAL COSTS,1563.50,11/4/2021
ZUBER LAWLER LLP,LEGAL COSTS,18889.10,12/20/2021
BIAS CORPORATION,MAINTENANCE & REPAIRS,1711.96,5/6/2021
SDI PRESENCE LLC,TECHNOLOGY SERVICES,477570.99,9/29/2021
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,737470.85,7/5/2021
"WISCO, INC.",MAINTENANCE & REPAIRS,1364.64,11/12/2021
*H and D Landscaping and Tree Removal LLC,MAINTENANCE & REPAIRS,2266.24,10/27/2021
"22ND CENTURY TECHNOLOGIES, INC.",TECHNOLOGY SERVICES,5600.00,10/11/2021
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,3775.00,11/24/2021
"Alstom Signaling Inc., d/b/a Alstom Signaling Operation, LLC.",DIRECT PURCHASES,2794.00,7/28/2021
89TH ST PROPERTIES LLC,FACILITY RENTAL,27968.92,1/13/2021
VILLAGE OF NORTH RIVERSIDE,GENERAL EXPENSES,100.00,12/9/2021
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,951.90,12/15/2021
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,1980.66,1/13/2021
"HERITAGE-CRYSTAL CLEAN, LLC",MAINTENANCE & REPAIRS,9920.00,7/26/2021
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,2721.00,12/1/2021
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,1810.00,10/20/2021
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,21957.21,6/9/2021
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,2998.00,9/15/2021
G & T ORTHOPAEDICS & SPORTS MEDICINE,ADMINISTRATION & HR,750.00,5/6/2021
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,120.57,8/5/2021
GENUINE PARTS COMPANY (NAPA),CONSULTING,145329.00,8/4/2021
 CITY OF CHICAGO,LEGAL COSTS,25.00,2/11/2021
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,MAINTENANCE & REPAIRS,79086.96,11/26/2021
"COMCAST OF CHICAGO, IL",EQUIPMENT RENTAL,213.55,5/27/2021
ELITE ORTHOPAEDICS AND SPORTS MEDICINE LLC,ADMINISTRATION & HR,750.00,2/4/2021
"HITACHI RAIL STS USA, INC.",DIRECT PURCHASES,14210.80,8/5/2021
"*MOTR GRAFX, LLC",CONTRACTUAL SERVICES,839.00,12/30/2021
RECORD CONNECT LLC,ADMINISTRATION & HR,58.95,4/8/2021
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,926.17,2/24/2021
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,20034.00,12/15/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,82456.95,9/20/2021
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,482321.30,1/13/2021
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,8353.46,4/1/2021
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,2523.00,8/25/2021
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,381820.97,11/8/2021
SDI PRESENCE LLC,TECHNOLOGY SERVICES,306179.00,12/29/2021
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,10/21/2021
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,2994.92,5/20/2021
PNC BANK,TRAVEL & MEETING EXPENSE,252.79,10/21/2021
A.R.D.C.,GENERAL EXPENSES,18964.00,12/16/2021
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,27791.94,10/11/2021
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,7057.50,1/25/2021
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,255.10,8/30/2021
"WISCO, INC.",DIRECT PURCHASES,63.06,10/12/2021
CINTAS CORPORATION,MAINTENANCE & REPAIRS,2850.65,5/3/2021
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,1/21/2021
"PREMIER STAFFING SOURCE, INC.",CONSULTING,4320.00,6/28/2021
VTECH SOLUTION INC,CONSULTING,6264.00,5/6/2021
"CONSTELLATION NEW ENERGY GAS DIVISION, LLC",UTILITIES EXPENSE,14893.90,11/26/2021
"HERITAGE-CRYSTAL CLEAN, LLC",MAINTENANCE & REPAIRS,7040.00,1/13/2021
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,11/18/2021
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,6340.00,6/30/2021
"MESIROW FINANCIAL, INC.",CONTRACTUAL SERVICES,16566.66,5/10/2021
CHICAGO POLICE DEPARTMENT,PURCHASE OF SECURITY SERVICES,630740.67,1/25/2021
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1110.55,8/4/2021
CINTAS CORPORATION,DIRECT PURCHASES,28.90,10/27/2021
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,5/13/2021
LARSON SYSTEMS INC,DIRECT PURCHASES,2000.00,8/25/2021
"SAF-T-GARD INTERNATIONAL, INC.",CONTRACTUAL SERVICES,1109.78,3/11/2021
"LANCESOFT, INC.",CONSULTING,2448.00,3/11/2021
SAFETY VISION LLC,FINANCIAL & TREAS SVCS,26496.25,12/8/2021
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,9341.13,8/4/2021
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",PURCHASE OF SECURITY SERVICES,291085.82,10/25/2021
SIMMONS MACHINE TOOL CORPORATION,DIRECT PURCHASES,6493.50,3/29/2021
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,41518.24,12/23/2021
"SPRINT SOLUTIONS, INC.",UTILITIES EXPENSE,10260.85,1/4/2021
VILLAGE OF OAK PARK -1,PURCHASE OF SECURITY SERVICES,18132.20,1/13/2021
"*MULTILINGUAL CONNECTIONS, LLC",ADVERTISING & PROMOTION,153.72,1/11/2021
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,244.15,11/12/2021
"JULIAN, BETLEY & ASSOCIATES",LEGAL COSTS,174.30,10/28/2021
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,2678.07,9/16/2021
ATIQ UR REHMAN,ADMINISTRATION & HR,750.00,3/11/2021
BLAIDA AND ASSOCIATES LLC,CONTRACTUAL SERVICES,6000.00,9/6/2021
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,175858.53,11/15/2021
URBAN CARE CHIROPRACTIC LLC,ADMINISTRATION & HR,400.00,9/30/2021
CLERK OF THE CIRCUIT COURT  1,LEGAL COSTS,6.50,7/2/2021
"OER SERVICES, LLC",EQUIPMENT RENTAL,900.00,9/20/2021
"*BOYE JANITORIAL SERVICE, INC.",MAINTENANCE & REPAIRS,14952.00,2/10/2021
CINTAS CORPORATION,CONTRACTUAL SERVICES,3820.00,11/8/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,10624.60,2/8/2021
Michael Best Strategies,CONTRACTUAL SERVICES,18000.00,9/16/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,139268.64,5/26/2021
CDW GOVERNMENT LLC,DIRECT PURCHASES,5670.37,11/1/2021
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,690977.96,10/13/2021
CINTAS CORPORATION,CONTRACTUAL SERVICES,10163.78,6/14/2021
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,128409.56,1/13/2021
CINTAS CORPORATION,MAINTENANCE & REPAIRS,2280.52,11/8/2021
HARRY S. TRUMAN COLLEGE,FACILITY RENTAL,19936.00,9/13/2021
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,209403.42,5/6/2021
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,3480.00,3/24/2021
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,17588.54,9/22/2021
CUMMINS INC.,MAINTENANCE & REPAIRS,885.66,4/14/2021
"WISCO, INC.",DIRECT PURCHASES,44.64,9/23/2021
BRIDGES COURT REPORTING,LEGAL COSTS,268.14,10/14/2021
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,13355.00,11/8/2021
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,12/23/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,23890.56,6/21/2021
"PROTANIC, INC.",MAINTENANCE & REPAIRS,1757.50,6/16/2021
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,135.00,7/15/2021
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,25185.01,9/27/2021
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,906.95,11/17/2021
JEANNE M VONHOF,LEGAL COSTS,900.00,8/19/2021
PROFESSIONAL DIVERSITY NETWORK,ADVERTISING & PROMOTION,1990.00,9/9/2021
PACE SUBURBAN BUS SERVICE,DIRECT PURCHASES,5920.00,7/2/2021
"PROTANIC, INC.",MAINTENANCE & REPAIRS,750.00,3/10/2021
"HERITAGE-CRYSTAL CLEAN, LLC",MAINTENANCE & REPAIRS,27033.60,9/27/2021
VTECH SOLUTION INC,CONSULTING,9396.00,5/27/2021
CINTAS CORPORATION,DIRECT PURCHASES,1470.00,6/14/2021
COGENT Infotech Corporation,CONSULTING,930.00,6/10/2021
CUMMINS INC.,MAINTENANCE & REPAIRS,427.56,2/24/2021
Konecranes,MAINTENANCE & REPAIRS,1680.00,9/30/2021
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,10638.94,6/23/2021
"ORACLE AMERICA, INC.",MAINTENANCE & REPAIRS,9581.43,6/21/2021
LEXITAS,LEGAL COSTS,157.64,8/26/2021
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,11/18/2021
"OER SERVICES, LLC",EQUIPMENT RENTAL,900.00,10/27/2021
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,14905.72,3/11/2021
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,69854.53,6/14/2021
EHC CANADA INC. d/b/a EHC GLOBAL,DIRECT PURCHASES,3700.00,8/16/2021
"MARK ANDY, INC.",MAINTENANCE & REPAIRS,139.15,8/5/2021
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,36906.75,11/26/2021
SAFETY VISION LLC,FINANCIAL & TREAS SVCS,25979.25,2/10/2021
CMM Calibration And Services,MAINTENANCE & REPAIRS,555.00,4/15/2021
SUNDAR SIVA PRAKASAM M.D.,ADMINISTRATION & HR,400.00,7/15/2021
BRIDGES COURT REPORTING,LEGAL COSTS,268.84,10/21/2021
IAP CONSTRUCTION INC.,MAINTENANCE & REPAIRS,560.00,12/27/2021
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,7/8/2021
"SVANACO, INC.",TECHNOLOGY SERVICES,27975.00,3/15/2021
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,415954.59,12/23/2021
"*BOYE JANITORIAL SERVICE, INC.",MAINTENANCE & REPAIRS,18375.00,10/27/2021
JACKSON LEWIS PC,LEGAL COSTS,20000.00,5/3/2021
*Kambrian Corporation,TECHNOLOGY SERVICES,6870.00,6/10/2021
"*VEI SOLUTIONS, INC.",MAINTENANCE & REPAIRS,866.30,4/28/2021
ROBERT A BAADE PHD,CONTRACTUAL SERVICES,8910.00,11/18/2021
CUMMINS INC.,MAINTENANCE & REPAIRS,213.78,4/12/2021
HISPANIC AMERICAN CONSTRUCTION INDUSTRY ASSOCIATION,GENERAL EXPENSES,3500.00,11/18/2021
US BANK,FINANCIAL & TREAS SVCS,5500.00,5/20/2021
*L.A. REPORTING........,LEGAL COSTS,87.00,6/17/2021
INVANTAGE ADVISING,ADMINISTRATION & HR,2500.00,6/24/2021
COZEN O'CONNOR PUBLIC STRATEGIES,CONTRACTUAL SERVICES,6000.00,11/12/2021
NEUROLOGICAL SURGERY & SPINE SURGERY,ADMINISTRATION & HR,1600.00,1/14/2021
"HITACHI RAIL STS USA, INC.",DIRECT PURCHASES,279.50,4/22/2021
"ARAMARK UNIFORM SERVICES, INC.",CONTRACTUAL SERVICES,105.32,11/26/2021
OAK PARK POLICE DEPT,LEGAL COSTS,5.00,5/13/2021
"*MOTR GRAFX, LLC",GENERAL EXPENSES,8876.00,9/16/2021
STAPLES ADVANTAGE,DIRECT PURCHASES,366.96,11/26/2021
CYNTHIA A. PAVESICH & ASSOC.,LEGAL COSTS,93.75,4/22/2021
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,42300.00,8/5/2021
"*ATLAS & ASSOCIATES, INC.",MAINTENANCE & REPAIRS,17243.99,7/2/2021
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,45868.00,9/15/2021
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,9524.00,6/24/2021
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,4558.05,10/11/2021
TAFT STETTINIUS & HOLLISTER LLP,LEGAL COSTS,8842.00,5/20/2021
JBM Janitorial Corp.,MAINTENANCE & REPAIRS,4760.00,2/17/2021
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,192.00,7/29/2021
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,4706.08,11/26/2021
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,843.05,12/2/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,17633.10,2/17/2021
"SVANACO, INC.",TECHNOLOGY SERVICES,28763.00,12/20/2021
ILLINOIS ENVIRONMENTAL PROTECTION AGENCY,MAINTENANCE & REPAIRS,500.00,9/30/2021
"*GALAXY ENVIRONMENTAL, INC.",MAINTENANCE & REPAIRS,73313.41,11/1/2021
"GENFARE, A DIVISION OF SPX CORPORATION",MAINTENANCE & REPAIRS,52354.12,5/19/2021
"PHAMATECH, INC.",ADMINISTRATION & HR,11035.00,10/7/2021
VTECH SOLUTION INC,CONSULTING,6264.00,4/8/2021
"PREMIER STAFFING SOURCE, INC.",CONSULTING,4320.00,5/10/2021
"ARAMARK UNIFORM SERVICES, INC.",CONTRACTUAL SERVICES,74.11,4/7/2021
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,7467.60,12/2/2021
"*MOTR GRAFX, LLC",ADVERTISING & PROMOTION,4300.00,5/13/2021
COMPUTER AID INC,TECHNOLOGY SERVICES,644433.60,12/29/2021
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,8862.03,6/3/2021
"WISCO, INC.",DIRECT PURCHASES,174.84,10/14/2021
"OER SERVICES, LLC",EQUIPMENT RENTAL,2624.00,10/11/2021
"GLOBAL FINISHING SOLUTIONS, LLC",DIRECT PURCHASES,4532.00,2/4/2021
ANCEL GLINK P.C.,LEGAL COSTS,3820.00,3/18/2021
"ACS ENTERPRISES, INC.",DIRECT PURCHASES,1980.00,10/21/2021
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1110.55,9/8/2021
VTECH SOLUTION INC,CONSULTING,9600.00,12/30/2021
CITY  OF HOMETOWN,GENERAL EXPENSES,200.00,11/26/2021
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,506.04,6/2/2021
CHANDRA ANAND,LEGAL COSTS,40.00,5/6/2021
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,5/6/2021
ENTERPRISE FLEET SERVICES,EQUIPMENT RENTAL,159660.60,1/11/2021
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,55.00,4/21/2021
ARC IMAGING RESOURCES,ADVERTISING & PROMOTION,36650.76,6/7/2021
"ARAMARK UNIFORM SERVICES, INC.",CONTRACTUAL SERVICES,105.32,12/8/2021
RAPID7 LLC,TECHNOLOGY SERVICES,29628.00,4/29/2021
"SVANACO, INC.",TECHNOLOGY SERVICES,27975.00,7/26/2021
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,2309.58,3/4/2021
"WISCO, INC.",MAINTENANCE & REPAIRS,246.98,10/28/2021
MARK BOWEN M.D.,ADMINISTRATION & HR,375.00,11/4/2021
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,5952.00,11/17/2021
"GLASSHOUSE SYSTEMS, INC.",MAINTENANCE & REPAIRS,126584.12,4/8/2021
HAPPY HANDS CLEANING SERVICE LLC,MAINTENANCE & REPAIRS,1666.67,6/30/2021
DAVID WISE,CONTRACTUAL SERVICES,12800.00,12/1/2021
SIMMONS MACHINE TOOL CORPORATION,DIRECT PURCHASES,135.00,6/9/2021
"SPERRY RAIL, INC.",CONTRACTUAL SERVICES,24024.96,1/14/2021
"GENFARE, A DIVISION OF SPX CORPORATION",MAINTENANCE & REPAIRS,6791.67,12/1/2021
JBM Janitorial Corp.,MAINTENANCE & REPAIRS,4760.00,4/14/2021
