VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,2492.00,10/23/2019
"QUEST DIAGNOSTICS, INC,",ADMINISTRATION & HR,102187.35,11/13/2019
SPECIALTY'S CAFE & BAKERY,TRAVEL & MEETING EXPENSE,199.57,11/19/2019
AGAE / PRO FENCE JOINT VENTURE,MAINTENANCE & REPAIRS,940.00,1/10/2019
"GENFARE, A DIVISION OF SPX CORPORATION",DIRECT PURCHASES,40150.00,2/15/2019
"QUEST DIAGNOSTICS, INC,",ADMINISTRATION & HR,84213.25,2/26/2019
JAMES DWORKIN,LEGAL COSTS,750.00,4/16/2019
RASAURA FERNANDEZ M.D.,ADMINISTRATION & HR,250.00,4/26/2019
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,307.68,5/22/2019
"INTERSTATE POWER SYSTEMS, INC.",MAINTENANCE & REPAIRS,351.50,9/13/2019
"*MIDWAY OVERHEAD DOOR, INC.",MAINTENANCE & REPAIRS,860.00,8/7/2019
SAFETY VISION LLC,FINANCIAL & TREAS SVCS,26085.00,8/12/2019
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,20509.69,9/4/2019
ERIC THOMAS,LEGAL COSTS,75.00,8/27/2019
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,69.15,9/17/2019
*INSPIRED CATERING & EVENTS,GENERAL EXPENSES,2202.50,9/24/2019
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,19.50,10/11/2019
CUMMINS INC.,MAINTENANCE & REPAIRS,563.38,10/8/2019
SPEAK UP,TRAVEL & MEETING EXPENSE,2400.00,10/16/2019
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,77628.43,11/27/2019
"INSIGHT DIRECT USA, INC.",MAINTENANCE & REPAIRS,54051.64,11/26/2019
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,98729.79,12/16/2019
"PROMPT ELECTRIC, INC.",MAINTENANCE & REPAIRS,1283.31,12/24/2019
"CRANE 1 SERVICES, INC.",MAINTENANCE & REPAIRS,1817.00,1/14/2019
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",PURCHASE OF SECURITY SERVICES,100011.50,1/15/2019
CITY OF BURBANK,GENERAL EXPENSES,100.00,3/19/2019
ZIONS BANK,GENERAL EXPENSES,40784.66,4/26/2019
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,6/19/2019
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,19365.11,7/5/2019
SOCIETY FOR HUMAN RESOURCE MGMT,GENERAL EXPENSES,209.00,7/23/2019
"JULIAN, BETLEY & ASSOCIATES",LEGAL COSTS,308.75,8/8/2019
ACCOUNTING PRINCIPALS INC,CONSULTING,1371.66,8/16/2019
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",MAINTENANCE & REPAIRS,5683.20,8/22/2019
"COY PUGH AND ASSOCIATES, LLC",CONTRACTUAL SERVICES,6000.00,9/12/2019
"MARK ANDY, INC.",MAINTENANCE & REPAIRS,211.24,12/3/2019
NURSE VALUE INC,ADMINISTRATION & HR,1250.00,11/21/2019
ROSEMONT PUBLIC WORKS,UTILITIES EXPENSE,29.10,2/12/2019
TOMPKINS PRINTING EQUIPMENT CO.,MAINTENANCE & REPAIRS,948.99,4/5/2019
"GMI, LLC",DIRECT PURCHASES,43700.00,5/23/2019
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,3000.00,7/29/2019
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,453.27,7/29/2019
NATIONAL SAFETY COUNCIL,CONTRACTUAL SERVICES,1109.53,9/20/2019
"OER SERVICES, LLC",EQUIPMENT RENTAL,376.32,10/9/2019
ACCOUNTEMPS/DIV. ROBERT HALF,LEGAL COSTS,3660.00,11/13/2019
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,4661.25,12/26/2019
STEPHEN L HAYFORD J.D.,LEGAL COSTS,3612.50,2/21/2019
AMERICAN CONCRETE INSTITUTE,GENERAL EXPENSES,249.00,4/18/2019
NATIONAL ELECTRIC GATE CO.,DIRECT PURCHASES,12780.00,7/11/2019
L.K LEWIS,CREDITS,20.00,8/16/2019
"WINKLER'S TREE SERVICE, INC.",MAINTENANCE & REPAIRS,10500.00,11/7/2019
"HINSHAW & CULBERTSON, LLP",LEGAL COSTS,19413.50,12/27/2019
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,1760.00,4/4/2019
MCPTR,TRAVEL & MEETING EXPENSE,840.00,5/29/2019
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,764.00,10/17/2019
IMAGE EXCHANGE,ADVERTISING & PROMOTION,2767.83,12/31/2019
IEEE OPERATIONS CENTER,GENERAL EXPENSES,167.50,3/27/2019
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,6270.04,4/12/2019
CHICAGO METRO CONSTRUCTION D/B/A ARLINGTON GLASS & MIRROR CO.,CONTRACTUAL SERVICES,83825.00,5/8/2019
PayFactors Group LLC,CONSULTING,12000.00,7/26/2019
AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,GENERAL EXPENSES,250.00,11/27/2019
VILLAGE OF WILMETTE,UTILITIES EXPENSE,2246.20,12/3/2019
GREENBERG TRAURIG LLP,LEGAL COSTS,2212.50,12/26/2019
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,697883.10,1/10/2019
*GREAT LAKES METALS CORPORATION,DIRECT PURCHASES,5432.95,1/31/2019
"*WILEY'S LAWN CARE, LLC",MAINTENANCE & REPAIRS,4815.00,1/10/2019
UNIVERSITY OF ILL OUTPT - OHSI,CONTRACTUAL SERVICES,5500.00,2/6/2019
"PROTANIC, INC.",MAINTENANCE & REPAIRS,4250.00,2/7/2019
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,66032.86,2/8/2019
CHICAGO METRO CONSTRUCTION D/B/A ARLINGTON GLASS & MIRROR CO.,MAINTENANCE & REPAIRS,8644.60,3/6/2019
CUMMINS INC.,MAINTENANCE & REPAIRS,5018.02,2/12/2019
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,50988.42,3/12/2019
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,8667.08,3/28/2019
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,11317.14,4/2/2019
PROGRESS RAIL SERVICES CORPORATION,DIRECT PURCHASES,3577.83,5/9/2019
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,55443.95,5/3/2019
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,433370.95,4/22/2019
IAP CONSTRUCTION INC.,MAINTENANCE & REPAIRS,15383.00,5/1/2019
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,69552.31,5/1/2019
SCHINDLER ELEVATOR CORP.,DIRECT PURCHASES,2829.00,6/13/2019
"COY PUGH AND ASSOCIATES, LLC",CONTRACTUAL SERVICES,6000.00,5/9/2019
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",MAINTENANCE & REPAIRS,12319.92,5/28/2019
"HIGH PSI, LTD.",MAINTENANCE & REPAIRS,1730.53,6/7/2019
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,74163.42,5/29/2019
MICOMP COMPUTER CENTER,DIRECT PURCHASES,538.22,6/13/2019
"*ATLAS & ASSOCIATES, INC.",DIRECT PURCHASES,15015.06,5/30/2019
INTERTEK USA INC.,CONTRACTUAL SERVICES,7928.00,6/28/2019
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,156.66,8/1/2019
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,16925.00,7/10/2019
"JULIAN, BETLEY & ASSOCIATES",LEGAL COSTS,159.90,7/9/2019
RECORD REPRODUCTION SERVICES,ADMINISTRATION & HR,57.53,8/6/2019
*GRISKO LLC (PREVIOUSLY CAROLYN GRISKO & ASSOCIATES),CONSULTING,1365.56,9/18/2019
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,1640.00,10/25/2019
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,4639.24,10/18/2019
CITIZEN NEWSPAPER GROUP,GENERAL EXPENSES,934.00,10/29/2019
"CONSTELLATION NEW ENERGY GAS DIVISION, LLC",UTILITIES EXPENSE,6324.70,11/5/2019
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,8978.88,11/18/2019
PEOPLES GAS,UTILITIES EXPENSE,6804.97,12/10/2019
"MYERS SERVICE, INC.",LEGAL COSTS,209.00,1/22/2019
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,2065.39,2/20/2019
APOLLO VIDEO TECHNOLOGY,FINANCIAL & TREAS SVCS,78128.90,2/13/2019
"DATA WEIGHING SYSTEMS, INC.",MAINTENANCE & REPAIRS,300.00,3/19/2019
CENTER OF BRAIN & SPINE SURGERY,ADMINISTRATION & HR,1200.00,2/22/2019
COZEN O'CONNOR,LEGAL COSTS,295.00,3/19/2019
"HIGH PSI, LTD.",MAINTENANCE & REPAIRS,476.25,4/9/2019
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,69672.36,6/11/2019
"OER SERVICES, LLC",EQUIPMENT RENTAL,4620.00,6/24/2019
"JULIAN, BETLEY & ASSOCIATES",LEGAL COSTS,120.25,10/8/2019
"LANER, MUCHIN, DOMBROW, BECKER,",CONTRACTUAL SERVICES,1657.40,11/7/2019
AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,TRAVEL & MEETING EXPENSE,625.00,11/26/2019
TKG & ASSOCIATES L.L.C,CONSULTING,10000.00,1/9/2019
"Legalink, Inc. d/b/a Epiq Court Reporting",GENERAL EXPENSES,661.25,2/12/2019
VICTORIA RODRIGUEZ,LEGAL COSTS,21.00,3/12/2019
"UNLIMITED SYSTEMS CORP.,INC",DIRECT PURCHASES,2920.00,3/26/2019
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,20902.78,4/26/2019
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,400.00,5/16/2019
VERITEXT CHICAGO REPORTING CO.,LEGAL COSTS,1016.60,5/24/2019
AGAE / PRO FENCE JOINT VENTURE,MAINTENANCE & REPAIRS,7164.60,6/21/2019
NORTHERN ILLINOIS GAS,UTILITIES EXPENSE,4082.41,7/19/2019
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,227.47,8/9/2019
UNIVERSITY OF ILL OUTPT - OHSI,CONTRACTUAL SERVICES,1000.00,8/9/2019
ARC IMAGING RESOURCES,MAINTENANCE & REPAIRS,5473.96,10/8/2019
"*BOYE JANITORIAL SERVICE, INC.",MAINTENANCE & REPAIRS,18375.00,11/27/2019
MICHAEL KORNBLATT MD,ADMINISTRATION & HR,1000.00,11/20/2019
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1273.36,12/13/2019
REGIONAL TRANSPORTATION AUTHORITY,TECHNOLOGY SERVICES,18583.92,1/8/2019
"*NSN EMPLOYER SERVICES, INC.",CONTRACTUAL SERVICES,15.00,1/8/2019
"MIDWEST TIME RECORDER, INC.",MAINTENANCE & REPAIRS,180.00,5/30/2019
MCPTR,TRAVEL & MEETING EXPENSE,520.00,6/6/2019
"WISCO, INC.",MAINTENANCE & REPAIRS,106.10,6/27/2019
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,295.00,8/6/2019
US BANK,FINANCIAL & TREAS SVCS,1500.00,9/13/2019
SHARPHEELS,TRAVEL & MEETING EXPENSE,690.00,10/29/2019
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,161.50,12/6/2019
THOMSON REUTERS-WEST,GENERAL EXPENSES,324.90,11/20/2019
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,146.60,12/27/2019
BENJAMIN BRUCE M.D.,ADMINISTRATION & HR,750.00,1/18/2019
"HASTINGS AIR-ENERGY CONTROL,INC.",DIRECT PURCHASES,235.99,2/12/2019
"U.S. LEGAL SUPPORT, INCORPORATED",LEGAL COSTS,140.40,4/2/2019
UNITED EXPERT HOLDINGS LLC,CONSULTING,10293.75,4/26/2019
MCGILL CONSTRUCTION CO LLC,MAINTENANCE & REPAIRS,1650.00,4/30/2019
"HIGH PSI, LTD.",MAINTENANCE & REPAIRS,893.66,6/6/2019
PERSONAL STRENGTHS PUBLISHING INC,TRAVEL & MEETING EXPENSE,7980.00,6/27/2019
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,45067.26,7/16/2019
*J.P. SIMONS & COMPANY,MAINTENANCE & REPAIRS,799.75,8/22/2019
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,14638.14,8/30/2019
TAB SERVICE COMPANY,GENERAL EXPENSES,1129.91,10/17/2019
ZIONS BANK,GENERAL EXPENSES,33434.51,10/30/2019
"Pest Management Services, Inc.",MAINTENANCE & REPAIRS,4903.00,12/18/2019
JACKSON LEWIS PC,LEGAL COSTS,3248.00,12/27/2019
SHARED USE MOBILITY CENTER,TRAVEL & MEETING EXPENSE,950.00,1/25/2019
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,385577.71,3/21/2019
TINA TAYLOR,LEGAL COSTS,25.00,3/13/2019
CORPORATE CONCEPTS INC,MAINTENANCE & REPAIRS,1890.00,3/26/2019
"INDUSTRIAL ENGINE SERVICE, INC.",DIRECT PURCHASES,625.15,3/25/2019
*SHAMROCK CATERING INC.,GENERAL EXPENSES,451.90,3/29/2019
JACKSON LEWIS PC,LEGAL COSTS,1568.00,5/21/2019
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,8416.25,6/13/2019
"*ANZY SUPPLY, INC.",MAINTENANCE & REPAIRS,385.71,8/2/2019
RUSSELL R. ROGERS,CONTRACTUAL SERVICES,11250.00,10/30/2019
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,57.20,11/14/2019
TOWN OF CICERO,UTILITIES EXPENSE,5257.56,3/14/2019
DeFRANCE EILAND,LEGAL COSTS,150.00,4/25/2019
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,8710.00,6/12/2019
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,63.30,7/24/2019
PEOPLES GAS,UTILITIES EXPENSE,15658.00,1/25/2019
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,31.14,3/22/2019
"THOMAS J. WALSH CONSULTING, LLC",CONTRACTUAL SERVICES,6000.00,3/13/2019
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1152.36,5/17/2019
NICHOLAS CARL FRISCH M.D.,ADMINISTRATION & HR,187.50,6/20/2019
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,6/20/2019
"CAPRICORN COMMUNICATIONS, LLC",CONTRACTUAL SERVICES,6000.00,8/2/2019
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",GENERAL EXPENSES,3105.89,10/8/2019
YOURMEMBERSHIP.COM INC,ADVERTISING & PROMOTION,179.00,11/22/2019
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,20334.18,2/1/2019
CLAREMONT LLC,CONTRACTUAL SERVICES,2268.00,1/31/2019
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,2758.09,2/6/2019
RENEE M LaPORTA,LEGAL COSTS,55.25,3/20/2019
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,10706.42,7/19/2019
UNITED PARCEL SERVICE,GENERAL EXPENSES,99.32,5/22/2019
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,3623.15,7/2/2019
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,36715.69,7/12/2019
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,407904.22,8/2/2019
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,3125.14,8/27/2019
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,1467.38,9/11/2019
"BHFX, LLC",MAINTENANCE & REPAIRS,945.00,8/29/2019
SAMM GROUP,ADMINISTRATION & HR,750.00,9/25/2019
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,45.50,10/18/2019
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,93155.00,11/8/2019
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,924.02,12/18/2019
ACCOUNTEMPS/DIV. ROBERT HALF,LEGAL COSTS,3660.00,12/24/2019
"WISCO, INC.",MAINTENANCE & REPAIRS,753.00,12/27/2019
"CRANE 1 SERVICES, INC.",MAINTENANCE & REPAIRS,7435.00,1/10/2019
"EWERT, INC. DBA MIDWEST GROUP DISTRIBUTION AND SERVICES",DIRECT PURCHASES,60.00,1/22/2019
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,100.00,2/19/2019
"WISCO, INC.",MAINTENANCE & REPAIRS,1220.14,4/2/2019
BEBON OFFICE MACHINES CO.,MAINTENANCE & REPAIRS,285.00,5/2/2019
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,800.00,8/6/2019
"MOBILE MINI, INC",EQUIPMENT RENTAL,1320.00,8/29/2019
ACCOUNTING PRINCIPALS INC,CONTRACTUAL SERVICES,845.40,10/4/2019
COMPUTER AID INC,TECHNOLOGY SERVICES,511293.95,9/27/2019
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,15676.01,10/17/2019
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,697.20,10/17/2019
"*FIRECO, INC.",MAINTENANCE & REPAIRS,1785.87,12/3/2019
CINTAS CORPORATION,DIRECT PURCHASES,482.16,11/21/2019
ANN S. KENIS,LEGAL COSTS,3000.00,12/5/2019
"MYERS SERVICE, INC.",LEGAL COSTS,384.00,12/11/2019
COMPUTER AID INC,TECHNOLOGY SERVICES,43801.60,2/5/2019
METROPOLITAN WATER RECLAMATION.,EQUIPMENT RENTAL,101624.90,2/12/2019
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",PURCHASE OF SECURITY SERVICES,47673.79,2/28/2019
VILLAGE OF OAK PARK UTILITIES,UTILITIES EXPENSE,1153.60,3/14/2019
"HIGH PSI, LTD.",MAINTENANCE & REPAIRS,749.63,4/18/2019
"PROTANIC, INC.",MAINTENANCE & REPAIRS,392.53,4/18/2019
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,7669.00,5/29/2019
SEFTON REPORTING SERVICE LTD,LEGAL COSTS,339.10,6/11/2019
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,6/20/2019
"THE MCS GROUP, INC.",ADMINISTRATION & HR,997.29,8/15/2019
UNIVERSITY OF ILLINOIS (UIC),CONTRACTUAL SERVICES,4640.00,10/8/2019
PEOPLES GAS,UTILITIES EXPENSE,55678.23,10/10/2019
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,100.80,11/21/2019
"COMCAST OF CHICAGO, IL",EQUIPMENT RENTAL,41.59,1/29/2019
CONTINENTAL LANGUAGES LLC,CONTRACTUAL SERVICES,480.00,1/31/2019
AT & T CORP,UTILITIES EXPENSE,164.15,3/26/2019
NEUROPSYCHOLOGICAL SERVICES PC,ADMINISTRATION & HR,6154.50,5/28/2019
"*VEI SOLUTIONS, INC.",MAINTENANCE & REPAIRS,4126.45,6/19/2019
LATHROP GAGE LLP,LEGAL COSTS,500.00,8/2/2019
"CHICAGO SUN-TIMES, INCORPORATED dba Sun-Times Media Productions, LLC",ADVERTISING & PROMOTION,818.44,9/26/2019
JAMES B DWORKIN,LEGAL COSTS,1500.00,10/8/2019
"LANER, MUCHIN, DOMBROW, BECKER,",EQUIPMENT RENTAL,130.48,11/7/2019
ROOT BROTHERS MFG. & SUPPLY CO.,DIRECT PURCHASES,3657.15,12/3/2019
JACKSON LEWIS PC,LEGAL COSTS,3080.00,12/6/2019
"PROTANIC, INC.",MAINTENANCE & REPAIRS,283.49,3/6/2019
SCARABAEUS LLC,CONTRACTUAL SERVICES,6000.00,3/13/2019
*SHAMROCK CATERING INC.,GENERAL EXPENSES,253.50,3/14/2019
JACKSON LEWIS PC,LEGAL COSTS,7532.00,3/18/2019
"RAILROAD MANAGEMENT COMPANY III, LLC",EQUIPMENT RENTAL,235.41,6/18/2019
"BUREAU VERITAS NORTH AMERICA, INC.",DIRECT PURCHASES,6143.80,10/29/2019
JACKSON LEWIS PC,LEGAL COSTS,2744.00,11/7/2019
89TH ST PROPERTIES LLC,FACILITY RENTAL,27968.92,11/8/2019
ESQUIRE DEPOSITION SERVICES,LEGAL COSTS,317.20,11/21/2019
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,220.37,12/11/2019
AGAE / PRO FENCE JOINT VENTURE,MAINTENANCE & REPAIRS,21843.20,12/10/2019
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,8724.62,12/18/2019
ACCOUNTING PRINCIPALS INC,CONSULTING,1324.00,5/31/2019
PEOPLES GAS,UTILITIES EXPENSE,9942.60,7/25/2019
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,909.00,7/23/2019
"RADICOM, INC.",MAINTENANCE & REPAIRS,15675.00,8/21/2019
"MARK ANDY, INC.",MAINTENANCE & REPAIRS,97.00,9/3/2019
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,2023.17,9/26/2019
"*URLAUB, BOWEN & ASSOCIATES, INC.",LEGAL COSTS,38.36,11/21/2019
"VERIZON WIRELESS, INC.",UTILITIES EXPENSE,293487.55,12/3/2019
CHICAGO METRO CONSTRUCTION D/B/A ARLINGTON GLASS & MIRROR CO.,MAINTENANCE & REPAIRS,903.84,1/4/2019
"JULIAN, BETLEY & ASSOCIATES",LEGAL COSTS,120.00,4/16/2019
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,6.50,7/2/2019
ACCOUNTEMPS/DIV. ROBERT HALF,LEGAL COSTS,4428.84,9/9/2019
ACCOUNTING PRINCIPALS INC,CONTRACTUAL SERVICES,848.06,11/1/2019
PITNEY BOWES GLOBAL MAILING SYSTEMS,MAINTENANCE & REPAIRS,315.60,11/6/2019
"OER SERVICES, LLC",EQUIPMENT RENTAL,1540.00,12/11/2019
NAPERVILLE EAR NOSE AND THROAT,ADMINISTRATION & HR,750.00,12/10/2019
CSC,MAINTENANCE & REPAIRS,4268.00,3/25/2019
CITY OF BURBANK,GENERAL EXPENSES,100.00,6/7/2019
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,58.38,6/21/2019
TOMPKINS PRINTING EQUIPMENT CO.,MAINTENANCE & REPAIRS,2207.11,6/28/2019
89TH ST PROPERTIES LLC,FACILITY RENTAL,27968.92,7/2/2019
"OFFICE DEPOT, INCORPORATED",DIRECT PURCHASES,160.45,7/29/2019
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,1020.60,12/6/2019
"WISCO, INC.",MAINTENANCE & REPAIRS,1739.90,1/8/2019
"PROTANIC, INC.",MAINTENANCE & REPAIRS,8110.38,1/15/2019
"QUEST DIAGNOSTICS, INC,",ADMINISTRATION & HR,63694.25,1/15/2019
HARSCO RAIL,DIRECT PURCHASES,1122.20,2/5/2019
"OER SERVICES, LLC",EQUIPMENT RENTAL,32948.71,3/8/2019
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,11182.88,3/26/2019
"INTERSTATE POWER SYSTEMS, INC.",MAINTENANCE & REPAIRS,321.50,4/9/2019
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,48528.04,4/5/2019
"*MOTR GRAFX, LLC",CONTRACTUAL SERVICES,210.00,4/24/2019
