VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"*ANDERSON & SHAH ROOFING, INC.",Contract Construction,237320.2,8/23/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,4353.29,9/4/2018
"*ANDERSON & SHAH ROOFING, INC.",Maintenance of Buildings,7658.7,11/13/2018
"*ATLAS & ASSOCIATES, INC.",Vehicle Rehab,100620,2/23/2018
"*ATLAS & ASSOCIATES, INC.",Maintenance of Equipment,12790.68,3/8/2018
"*ATLAS & ASSOCIATES, INC.",Maintenance of Equipment,24623.95,7/10/2018
"*ATLAS & ASSOCIATES, INC.",Maintenance of Equipment,3605.12,8/10/2018
"*ATLAS & ASSOCIATES, INC.",Maintenance of Equipment,12013.78,8/24/2018
"*ATLAS & ASSOCIATES, INC.",Maintenance of Equipment,28769.91,10/26/2018
"*ATLAS & ASSOCIATES, INC.",Maintenance of Equipment,5016.9,10/30/2018
"*BARRICADE LITES, INC.",Maintenance of Structures,5208.98,10/25/2018
"*BARRICADE LITES, INC.",Maintenance of Structures,8082.12,11/13/2018
"*BARRICADE LITES, INC.",Maintenance of Structures,198.74,11/21/2018
*CHICAGO ADVISORS LLC,Consulting Services,21580,1/10/2018
*CHICAGO ADVISORS LLC,Consulting Services,17745,2/12/2018
*CHICAGO ADVISORS LLC,Consulting Services,10530,4/16/2018
*CHICAGO ADVISORS LLC,Consulting Services,20800,5/7/2018
*CHICAGO ADVISORS LLC,Consulting Services,21840,5/22/2018
*CHICAGO ADVISORS LLC,Consulting Services,22685,7/10/2018
*CHICAGO ADVISORS LLC,Consulting Services,23465,8/7/2018
*CHICAGO ADVISORS LLC,Consulting Services,18720,9/5/2018
*CHICAGO ADVISORS LLC,Consulting Services,23400,10/4/2018
*CHICAGO ADVISORS LLC,Consulting Services,3770,10/25/2018
*COLETTE HOLT & ASSOCIATES,Other Consulting,20615,3/9/2018
*COLETTE HOLT & ASSOCIATES,Other Consulting,23140,4/25/2018
*COLETTE HOLT & ASSOCIATES,Other Consulting,22385,5/3/2018
*COLETTE HOLT & ASSOCIATES,Other Consulting,31960,6/4/2018
*COLETTE HOLT & ASSOCIATES,Consulting Services,35785.74,6/19/2018
*COLETTE HOLT & ASSOCIATES,Other Consulting,1900,6/19/2018
*COLETTE HOLT & ASSOCIATES,Consulting Services,30675,7/26/2018
*COLETTE HOLT & ASSOCIATES,Consulting Services,30460,9/13/2018
*COLETTE HOLT & ASSOCIATES,Consulting Services,50760,10/4/2018
"*CREA CONSTRUCTION, INC.",Contract Construction,179000,7/3/2018
*CSI 3000 Inc,Maintenance of Buildings,8871.4,5/29/2018
*CSI 3000 Inc,Maintenance of Buildings,15990,6/5/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,185527.93,1/24/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,48702.25,2/14/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,5217.1,3/9/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,48199.77,3/13/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,48335.21,3/28/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,95926.85,4/5/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,91140.08,5/3/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,46151.15,5/9/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,46059.68,5/25/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,45551.85,6/12/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,46051.96,6/21/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,47925.52,7/13/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,90120.91,8/7/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,47771.72,9/18/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,91690.37,9/26/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,47604.6,10/24/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,49794.46,10/30/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,46551.49,11/29/2018
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",Security Rail,99025.27,12/6/2018
"*FIRECO, INC.",Maintenance of Buildings,1375,1/4/2018
"*FIRECO, INC.",Maintenance of Buildings,3200,1/11/2018
"*FIRECO, INC.",Maintenance of Buildings,77825,1/23/2018
"*FIRECO, INC.",Maintenance of Buildings,1400,1/25/2018
"*FIRECO, INC.",Maintenance of Buildings,2475,2/6/2018
"*FIRECO, INC.",Maintenance of Buildings,8105,2/15/2018
"*FIRECO, INC.",Maintenance of Buildings,2745,2/20/2018
"*FIRECO, INC.",Maintenance of Buildings,23989,3/6/2018
"*FIRECO, INC.",Maintenance of Buildings,3740,3/13/2018
"*FIRECO, INC.",Maintenance of Buildings,9925,3/15/2018
"*FIRECO, INC.",Maintenance of Buildings,2250,5/8/2018
"*FIRECO, INC.",Maintenance of Buildings,2480,5/15/2018
"*FIRECO, INC.",Maintenance of Buildings,4930,5/24/2018
"*FIRECO, INC.",Maintenance of Buildings,5300,6/5/2018
"*FIRECO, INC.",Maintenance of Buildings,1630,7/24/2018
"*FIRECO, INC.",Maintenance of Buildings,6155,8/14/2018
"*FIRECO, INC.",Maintenance of Buildings,2720,9/6/2018
"*FIRECO, INC.",Maintenance of Buildings,2770,10/16/2018
"*FIRECO, INC.",Maintenance of Buildings,1750,10/19/2018
"*FIRECO, INC.",Maintenance of Buildings,51385,10/31/2018
"*FIRECO, INC.",Maintenance of Buildings,3675,11/2/2018
"*FIRECO, INC.",Maintenance of Buildings,1100,11/6/2018
"*FIRECO, INC.",Maintenance of Buildings,5725,11/20/2018
"*FIRECO, INC.",Maintenance of Buildings,11240,12/12/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,19747.52,1/3/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,19747.52,2/5/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,19747.52,3/8/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,19747.52,4/4/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,19747.52,5/4/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,19747.52,6/1/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,19747.52,7/3/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,19747.52,8/2/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,20537.42,9/4/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,20537.42,10/3/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,20537.42,11/5/2018
"*FYI & ASSOCIATES, INC.",Maintenance of Buildings,20537.42,12/3/2018
*GREAT LAKES METALS CORPORATION,Maintenance of Rail Stations,1410,2/22/2018
*HARTMAN PUBLISHING GROUP LTD / N'DIGO,Marketing,2500,5/8/2018
*HI-TEK ENVIRONMENTAL- d/b/a STAT,Management,335,1/26/2018
*HI-TEK ENVIRONMENTAL- d/b/a STAT,Management,612,4/6/2018
*HI-TEK ENVIRONMENTAL- d/b/a STAT,Management,36,4/10/2018
*HI-TEK ENVIRONMENTAL- d/b/a STAT,Management,57,8/14/2018
*HI-TEK ENVIRONMENTAL- d/b/a STAT,Consulting Services,105,10/3/2018
*HI-TEK ENVIRONMENTAL- d/b/a STAT,Management,621,10/3/2018
*HIGHWAY SAFETY CORPORATON,Maintenance of Track & Roadway,6663.5,1/22/2018
*HIGHWAY SAFETY CORPORATON,Maintenance of Buildings,3862.5,2/1/2018
*HIGHWAY SAFETY CORPORATON,Maintenance of Buildings,3828.5,3/1/2018
*HIGHWAY SAFETY CORPORATON,Maintenance of Track & Roadway,3318,3/2/2018
*HIGHWAY SAFETY CORPORATON,Maintenance of Buildings,10000,4/19/2018
*HIGHWAY SAFETY CORPORATON,Maintenance of Track & Roadway,3592,4/27/2018
*HIGHWAY SAFETY CORPORATON,Maintenance of Structures,5971.88,7/16/2018
*INSPIRED CATERING & EVENTS,Administrative Support,1725,5/10/2018
*INSPIRED CATERING & EVENTS,Administrative Support,165,5/16/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,2728.23,1/2/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,28263.14,1/2/2018
*J.P. SIMONS & COMPANY,Maintenance of Escalators,776.8,1/2/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,91.12,1/2/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,8389.4,1/3/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,4795.81,1/9/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,2223.5,1/9/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,2719.68,1/11/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,1382.21,1/11/2018
*J.P. SIMONS & COMPANY,Maintenance of Escalators,179.94,1/11/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,4062.02,1/16/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,2399.31,1/16/2018
*J.P. SIMONS & COMPANY,Maintenance of Escalators,493.58,1/16/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,38304,1/16/2018
*J.P. SIMONS & COMPANY,Maintenance of Escalators,486,1/24/2018
*J.P. SIMONS & COMPANY,Equipment Purchases,12154.77,1/31/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,3717.35,1/31/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,6615.21,1/31/2018
*J.P. SIMONS & COMPANY,Maintenance of Escalators,742.5,1/31/2018
*J.P. SIMONS & COMPANY,Vehicle Rehab,21829.5,1/31/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,5115.07,2/6/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,8418.92,2/6/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,1262.5,2/6/2018
*J.P. SIMONS & COMPANY,Maintenance of Rail Stations,432.32,2/6/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,80605.4,2/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,66.03,2/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,32782.83,2/14/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,3097.7,2/14/2018
*J.P. SIMONS & COMPANY,Maintenance of Substations,7398.75,2/14/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,758.9,2/20/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,7636.77,2/22/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,6834.44,2/22/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,621.36,2/22/2018
*J.P. SIMONS & COMPANY,Maintenance of Rail Stations,1084,2/22/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,3877.98,2/28/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,4806.64,2/28/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,1152.26,2/28/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,398.4,3/1/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,7382.95,3/6/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,174.8,3/6/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,3029.98,3/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,2952.26,3/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,5766,3/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Rail Stations,4021.84,3/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,234.44,3/13/2018
*J.P. SIMONS & COMPANY,Maintenance of Escalators,423.12,3/13/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,12872.58,3/14/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,11948.82,3/14/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,5071.5,3/14/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,13760.37,3/15/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,2252.71,3/15/2018
*J.P. SIMONS & COMPANY,Maintenance of Rail Stations,797.98,3/15/2018
*J.P. SIMONS & COMPANY,Maintenance of Substations,18750,3/15/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,3309.89,3/15/2018
*J.P. SIMONS & COMPANY,Equipment Purchases,11133.15,3/21/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,24181.82,3/27/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,2212.2,3/27/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,2077.6,3/27/2018
*J.P. SIMONS & COMPANY,Equipment Purchases,54159.1,3/28/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,582.6,3/29/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,1222.9,3/29/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,1690.8,3/29/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,3208.35,3/29/2018
*J.P. SIMONS & COMPANY,Equipment Purchases,20850,4/4/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,2543.71,4/10/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,7788.43,4/10/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,1164.3,4/10/2018
*J.P. SIMONS & COMPANY,Maintenance of Rail Stations,1939.46,4/10/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,2326.42,4/11/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,1284.11,4/11/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,1050,4/11/2018
*J.P. SIMONS & COMPANY,Vehicle Rehab,19120.5,4/11/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,12544.34,4/13/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,1950.97,4/13/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,536.8,4/13/2018
*J.P. SIMONS & COMPANY,Maintenance of Rail Stations,729,4/13/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,5426.66,4/19/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,4647.54,4/19/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,1421.4,4/19/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,548.13,4/20/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,18818.44,4/26/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,585.38,4/26/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,2780.34,4/26/2018
*J.P. SIMONS & COMPANY,Maintenance of Rail Stations,594.79,4/26/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,2545,4/26/2018
*J.P. SIMONS & COMPANY,Equipment Purchases,1235,4/27/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,3534.02,5/3/2018
*J.P. SIMONS & COMPANY,Equipment Purchases,16576.83,5/4/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,1336.27,5/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,5344.02,5/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Escalators,4316.4,5/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,448.72,5/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Rail Stations,1202.1,5/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,926.5,5/8/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,2297.37,5/15/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,9087.03,5/15/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,460,5/15/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,1863.61,5/15/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,2256.16,5/22/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,384.9,5/22/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,30324,5/22/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,2167.3,5/23/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,136,5/23/2018
*J.P. SIMONS & COMPANY,Maintenance of Track & Roadway-Electrical,7952,5/23/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,7213.93,5/25/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,3516.32,5/25/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,2097.17,5/25/2018
*J.P. SIMONS & COMPANY,Equipment Purchases,53736.55,5/31/2018
*J.P. SIMONS & COMPANY,Maintenance of Buildings,2841.75,5/31/2018
*J.P. SIMONS & COMPANY,Maintenance of Equipment,2386.66,5/31/2018
*J.P. SIMONS & COMPANY,Maintenance of Lighting,16350.9,5/31/2018
