VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"INDUSTRIAL ENGINE SERVICE, INC.",DIRECT PURCHASES,583.81,12/7/2020
MICHAEL A PIERCE,CONTRACTUAL SERVICES,75.00,9/17/2020
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,12528.27,8/26/2020
VILLAGE OF FOREST PARK.,UTILITIES EXPENSE,9251.23,10/22/2020
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,30454.70,3/25/2020
PNC BANK,TRAVEL & MEETING EXPENSE,598.00,9/15/2020
AMERICAN RAILWAY ENGINEERING AND MAINTENANCE OF WAY ASSOCIATION,GENERAL EXPENSES,195.00,1/14/2020
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,5999.54,7/8/2020
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,232.00,9/10/2020
CLAREMONT LLC,CONTRACTUAL SERVICES,276.00,7/9/2020
"COMCAST OF CHICAGO, IL",EQUIPMENT RENTAL,41.85,6/25/2020
"BUREAU VERITAS NORTH AMERICA, INC.",DIRECT PURCHASES,1063.10,8/13/2020
HOLLAND & KNIGHT LLP,LEGAL COSTS,8945.50,3/25/2020
PEOPLES GAS,UTILITIES EXPENSE,98099.60,12/17/2020
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,366447.50,6/15/2020
"*ANZY SUPPLY, INC.",MAINTENANCE & REPAIRS,238.68,10/22/2020
"INTERSTATE POWER SYSTEMS, INC.",MAINTENANCE & REPAIRS,684.79,9/30/2020
TOMPKINS PRINTING EQUIPMENT CO.,MAINTENANCE & REPAIRS,1707.98,12/30/2020
ALITHEA WAYER LCWS INC,ADMINISTRATION & HR,400.00,9/3/2020
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,665.00,12/9/2020
"WISCO, INC.",MAINTENANCE & REPAIRS,123.71,10/22/2020
ZIONS BANK,FINANCIAL & TREAS SVCS,1750.00,9/10/2020
"CHICAGO SUN-TIMES, INCORPORATED dba Sun-Times Media Productions, LLC",GENERAL EXPENSES,489.00,9/24/2020
"LUMINATOR MASS TRANSIT, LLC",MAINTENANCE & REPAIRS,28875.00,12/10/2020
"CROWE, LLP",FINANCIAL & TREAS SVCS,22092.00,1/8/2020
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,1504.00,5/20/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,209530.67,1/30/2020
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,2900.00,7/16/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,2102401.32,12/23/2020
CUMMINS INC.,MAINTENANCE & REPAIRS,2031.08,5/13/2020
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,12088.38,4/8/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,2124143.51,10/21/2020
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,100.00,12/17/2020
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,89.25,4/8/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,480603.37,5/13/2020
"*ANZY SUPPLY, INC.",DIRECT PURCHASES,229.87,10/22/2020
"OER SERVICES, LLC",EQUIPMENT RENTAL,400.00,10/12/2020
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,16961.31,9/14/2020
NATHANIEL JONES M.D.,GENERAL EXPENSES,650.00,12/10/2020
CINTAS CORPORATION,DIRECT PURCHASES,93.87,12/7/2020
POSTAL PARTNERS,GENERAL EXPENSES,85.05,3/10/2020
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,12913.99,3/17/2020
"COY PUGH AND ASSOCIATES, LLC",CONTRACTUAL SERVICES,6000.00,3/17/2020
CINTAS CORPORATION,DIRECT PURCHASES,93.87,8/26/2020
PEDDINGHAUS,MAINTENANCE & REPAIRS,17209.79,7/16/2020
APOLLO VIDEO TECHNOLOGY,FINANCIAL & TREAS SVCS,73259.25,7/15/2020
"PROTANIC, INC.",MAINTENANCE & REPAIRS,27991.08,4/13/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,9239.56,1/15/2020
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,5940.00,7/15/2020
Wensco,ADVERTISING & PROMOTION,2188.84,3/17/2020
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,4639.60,8/5/2020
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,1087.60,8/17/2020
BLAIDA AND ASSOCIATES LLC,CONTRACTUAL SERVICES,6000.00,12/14/2020
HOLLAND & KNIGHT LLP,LEGAL COSTS,30247.50,5/14/2020
"ANCHOR MECHANICAL, INC.",MAINTENANCE & REPAIRS,1440.00,4/1/2020
METROPOLITAN WATER RECLAMATION..,UTILITIES EXPENSE,30272.90,10/22/2020
"OER SERVICES, LLC",EQUIPMENT RENTAL,644.00,2/7/2020
"PREMIER STAFFING SOURCE, INC.",CONTRACTUAL SERVICES,3873.15,11/18/2020
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,4466.30,12/16/2020
ENTERPRISE FLEET SERVICES,EQUIPMENT RENTAL,146644.19,10/28/2020
"*DatamanUSA, LLC",CONTRACTUAL SERVICES,6320.00,12/17/2020
"JUST ELEVATOR INSPECTION SERVICE, INC.",MAINTENANCE & REPAIRS,11925.00,11/5/2020
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,35988.67,7/20/2020
"WISCO, INC.",MAINTENANCE & REPAIRS,123.71,12/17/2020
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",PURCHASE OF SECURITY SERVICES,177524.96,7/8/2020
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,27.47,10/8/2020
"WISCO, INC.",DIRECT PURCHASES,24.00,1/15/2020
"PROTANIC, INC.",MAINTENANCE & REPAIRS,1100.00,11/18/2020
HEGENSCHEIDT CORP.,MAINTENANCE & REPAIRS,4448.00,10/7/2020
TKG & ASSOCIATES L.L.C,CONSULTING,10000.00,1/14/2020
NEAL & LEROY L.L.C.,LEGAL COSTS,885.00,2/6/2020
"PROTANIC, INC.",MAINTENANCE & REPAIRS,782.52,9/16/2020
"*ATLAS & ASSOCIATES, INC.",MAINTENANCE & REPAIRS,3082.59,12/24/2020
PNC BANK,MAINTENANCE & REPAIRS,851.77,9/15/2020
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,9124.00,12/16/2020
The Chicago Mosaic School,CONTRACTUAL SERVICES,1199.00,2/27/2020
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,41046.18,6/24/2020
BRE RIVER NORTH POINT OWNER,FACILITY RENTAL,51838.14,5/7/2020
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,728641.41,7/20/2020
"OER SERVICES, LLC",EQUIPMENT RENTAL,9338.62,5/20/2020
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,788.01,10/7/2020
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,395682.42,9/23/2020
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,21565.62,11/11/2020
PACER SERVICE CENTER,GENERAL EXPENSES,400.60,1/28/2020
FOREST PARK POLICE DEPT.,PURCHASE OF SECURITY SERVICES,6792.60,10/15/2020
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,23753.71,7/2/2020
"ILLINOIS BONE & JOINT INSTITUTE, LLC",LEGAL COSTS,750.00,9/3/2020
"THE MCS GROUP, INC.",ADMINISTRATION & HR,53.62,1/9/2020
"J2 CLOUD SERVICES, LLC.",CONTRACTUAL SERVICES,356.36,12/24/2020
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,8.99,8/12/2020
COMPUTER AID INC,TECHNOLOGY SERVICES,20833.00,2/26/2020
"WINKLER'S TREE SERVICE, INC.",CONTRACTUAL SERVICES,3000.00,9/3/2020
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,395682.42,7/15/2020
"CAPRICORN COMMUNICATIONS, LLC",CONTRACTUAL SERVICES,6000.00,2/5/2020
"*VEI SOLUTIONS, INC.",MAINTENANCE & REPAIRS,759.53,7/2/2020
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,33.13,12/17/2020
RUSSELL R. ROGERS,CONTRACTUAL SERVICES,11250.00,3/17/2020
"PROTANIC, INC.",MAINTENANCE & REPAIRS,2500.00,2/7/2020
RUSSELL R. ROGERS,CONTRACTUAL SERVICES,11250.00,9/9/2020
ILLINOIS ENVIRONMENTAL PROTECTION AGENCY,CONTRACTUAL SERVICES,235.00,2/7/2020
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,55.20,5/27/2020
"WISCO, INC.",MAINTENANCE & REPAIRS,1890.40,7/2/2020
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,7872.00,2/5/2020
LEXITAS,LEGAL COSTS,723.60,3/12/2020
*NAK-MAN CORPORATION,DIRECT PURCHASES,5917.76,11/23/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,1178791.29,3/13/2020
ARC IMAGING RESOURCES,MAINTENANCE & REPAIRS,491.76,1/10/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,116639.77,9/14/2020
PITNEY BOWES GLOBAL MAILING SYSTEMS,MAINTENANCE & REPAIRS,1104.00,7/9/2020
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,69100.00,4/27/2020
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,9517.89,12/2/2020
"ULTRA-TECH ENTERPRISES, INC.",MAINTENANCE & REPAIRS,2000.73,11/18/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,43436.29,8/24/2020
"HITACHI RAIL STS USA, INC.",DIRECT PURCHASES,37155.00,7/23/2020
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,6513.71,1/7/2020
ZULKIE PARTNERS LLC,LEGAL COSTS,580.00,6/22/2020
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,9124.00,10/28/2020
VILLAGE OF RIVER GROVE,UTILITIES EXPENSE,843.71,3/25/2020
MIDWEST PROFESSIONAL MEDICAL CARE,ADMINISTRATION & HR,337.50,1/7/2020
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,334.30,1/7/2020
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,1842.80,10/21/2020
"AUTOMATIC FIRE CONTROLS, INC.",MAINTENANCE & REPAIRS,1000.00,3/19/2020
PNC BANK,TRAVEL & MEETING EXPENSE,168.00,8/17/2020
CUMMINS INC.,MAINTENANCE & REPAIRS,1664.43,7/22/2020
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,3219.60,11/25/2020
CINTAS CORPORATION,CONTRACTUAL SERVICES,1851.60,9/9/2020
SDI PRESENCE LLC,TECHNOLOGY SERVICES,304779.00,11/23/2020
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1046.42,2/7/2020
FORESIGHT RECONSTRUCTION INC,CONTRACTUAL SERVICES,5833.33,1/28/2020
Chicago Minority Supplier Development Council,GENERAL EXPENSES,2500.00,12/24/2020
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,3025.00,9/4/2020
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,46947.05,12/10/2020
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,50690.00,10/22/2020
"OER SERVICES, LLC",CONTRACTUAL SERVICES,4620.00,1/23/2020
"WISCO, INC.",MAINTENANCE & REPAIRS,322.72,3/12/2020
"COMCAST OF CHICAGO, IL",EQUIPMENT RENTAL,51.70,9/24/2020
MEDIAAGILITY INC,TECHNOLOGY SERVICES,2248.70,4/2/2020
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,5950.63,1/7/2020
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,13992.81,12/14/2020
"SACHS, EARNEST & ASSOCIATES, LTD",CONTRACTUAL SERVICES,50.00,2/18/2020
"AMAZON WEB SERVICES, INC.",CONTRACTUAL SERVICES,892.10,4/29/2020
UNITED PARCEL SERVICE,GENERAL EXPENSES,23.23,2/4/2020
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,52.80,1/24/2020
RTA,TECHNOLOGY SERVICES,1083.72,7/16/2020
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1042.22,1/31/2020
CHICAGO METROPOLITAN FIRE PREVENTION CO,MAINTENANCE & REPAIRS,255.00,5/7/2020
VILLAGE OF CRESTWOOD,GENERAL EXPENSES,100.00,12/17/2020
"AMERESCO, INC.",CONSULTING,14730.00,9/30/2020
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,300.00,12/3/2020
G.A.G. INDUSTRIES CORP.,MAINTENANCE & REPAIRS,57054.36,11/23/2020
ZULKIE PARTNERS LLC,LEGAL COSTS,3085.00,8/12/2020
CDW GOVERNMENT LLC,MAINTENANCE & REPAIRS,12150.00,7/29/2020
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,PURCHASE OF SECURITY SERVICES,16702.22,2/28/2020
"*URLAUB, BOWEN & ASSOCIATES, INC.",LEGAL COSTS,1025.55,12/17/2020
"AUTOMATIC FIRE CONTROLS, INC.",MAINTENANCE & REPAIRS,1000.00,1/15/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,389868.53,1/15/2020
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,1325.01,12/21/2020
"THE MCS GROUP, INC.",ADMINISTRATION & HR,7204.71,10/22/2020
"PROTANIC, INC.",MAINTENANCE & REPAIRS,750.00,2/20/2020
"PHAMATECH, INC.",ADMINISTRATION & HR,24440.00,12/24/2020
UTILITY TRANSPORT SERVICE,DIRECT PURCHASES,464.11,12/3/2020
"MOBILE MINI, INC",EQUIPMENT RENTAL,4260.00,4/16/2020
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,68733.87,6/29/2020
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,900.00,2/28/2020
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,1/21/2020
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,35.00,3/13/2020
"THE MCS GROUP, INC.",ADMINISTRATION & HR,4085.84,3/11/2020
APOLLO VIDEO TECHNOLOGY,FINANCIAL & TREAS SVCS,76368.75,10/21/2020
"PREMIER STAFFING SOURCE, INC.",CONTRACTUAL SERVICES,4104.00,12/14/2020
"*BOYE JANITORIAL SERVICE, INC.",MAINTENANCE & REPAIRS,258150.00,7/29/2020
GREENBERG TRAURIG LLP,LEGAL COSTS,13835.50,3/25/2020
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,31779.18,12/9/2020
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,6315.00,7/22/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,86071.15,3/9/2020
Wisconsin Lift Truck Corp. DBA Ellis Systems,DIRECT PURCHASES,8125.00,4/9/2020
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,277.50,10/26/2020
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,4673.93,2/21/2020
LOWIS & GELLEN LLP,LEGAL COSTS,711.50,4/9/2020
PNC BANK,GENERAL EXPENSES,235.88,4/14/2020
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,300.00,8/6/2020
APOLLO VIDEO TECHNOLOGY,FINANCIAL & TREAS SVCS,74874.25,9/4/2020
BARR MANAGEMENT,GENERAL EXPENSES,373.23,9/10/2020
UNION PACIFIC RAILROAD COMPANY,FACILITY RENTAL,105000.00,6/29/2020
ENTERPRISE FLEET SERVICES,EQUIPMENT RENTAL,149807.63,7/29/2020
AMALGAMATED BANK OF CHICAGO.,FINANCIAL & TREAS SVCS,15083.08,9/10/2020
"CAPRICORN COMMUNICATIONS, LLC",CONTRACTUAL SERVICES,6000.00,1/17/2020
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,2862.73,2/27/2020
PEOPLES GAS,UTILITIES EXPENSE,7870.06,8/13/2020
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",PURCHASE OF SECURITY SERVICES,169439.71,9/30/2020
CINTAS CORPORATION,CONTRACTUAL SERVICES,375.48,9/30/2020
CINTAS CORPORATION,MAINTENANCE & REPAIRS,52.02,1/7/2020
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,921.30,7/30/2020
PNC BANK,MAINTENANCE & REPAIRS,951.56,11/16/2020
"VERITEXT, LLC",GENERAL EXPENSES,68.00,7/2/2020
"WINKLER'S TREE SERVICE, INC.",MAINTENANCE & REPAIRS,4985.00,8/27/2020
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,8855.48,5/28/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,2520.00,1/9/2020
"GREATER ILLINOIS TITLE COMPANY, INC.",LEGAL COSTS,650.00,12/17/2020
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,8416.25,3/12/2020
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,55.20,3/25/2020
UTILITY TRANSPORT SERVICE,DIRECT PURCHASES,720.05,4/23/2020
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,7068.20,3/20/2020
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,5563.00,2/3/2020
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,58044.52,10/1/2020
BURKE BURNS & PINELLI LTD.,LEGAL COSTS,1386.50,9/3/2020
PAMELA DOCKSTADER ORTIZ PSY D,ADMINISTRATION & HR,250.00,3/18/2020
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,156.67,9/23/2020
MICHAEL BEST & FRIEDRICH-CHGO,LEGAL COSTS,147.50,3/25/2020
*SYNERGY DEVELOPMENT LIMITED,MAINTENANCE & REPAIRS,6667.20,12/9/2020
"*L. A. COURT REPORTERS, LLC",LEGAL COSTS,298.90,1/7/2020
ROYAL REPORTING SERVICES,LEGAL COSTS,145.35,2/13/2020
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,408.05,3/23/2020
MEDIAAGILITY INC,TECHNOLOGY SERVICES,2247.49,3/5/2020
"OER SERVICES, LLC",EQUIPMENT RENTAL,644.00,11/11/2020
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,13992.81,11/25/2020
CITY  OF HOMETOWN,GENERAL EXPENSES,100.00,7/16/2020
NORTHERN ILLINOIS GAS,UTILITIES EXPENSE,2989.90,9/17/2020
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,15309.00,11/19/2020
"AMERESCO, INC.",CONSULTING,14730.00,3/30/2020
GRANT LAW LLC,LEGAL COSTS,320.00,4/8/2020
