VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
AURIGA CORPORATION,GENERAL EXPENSES,39643.12,9/1/2022
OAK PARK POLICE DEPT,LEGAL COSTS,5.00,1/13/2022
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,11216.06,2/22/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,38557.57,1/18/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,7424.61,5/24/2022
STAPLES ADVANTAGE,DIRECT PURCHASES,163.24,4/19/2022
PNC BANK,ADVERTISING & PROMOTION,1608.84,5/17/2022
"THE MCS GROUP, INC.",ADMINISTRATION & HR,4717.30,7/29/2022
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,3785.00,5/10/2022
SCOTT E. GLASER M.D.,ADMINISTRATION & HR,750.00,2/3/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,105.00,3/10/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,8198.19,9/29/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,695.61,2/24/2022
*HI-TEK ENVIRONMENTAL- d/b/a STAT,CONTRACTUAL SERVICES,7.00,5/26/2022
AVONDALE INVESTORS LLC,FACILITY RENTAL,26265.00,7/19/2022
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,50818.24,5/10/2022
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,8/25/2022
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,2/24/2022
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,15795.45,4/5/2022
POSTAL PARTNERS,GENERAL EXPENSES,295.13,5/12/2022
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,7641.71,5/19/2022
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,7558.83,3/10/2022
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,10985.00,7/29/2022
CLAREMONT LLC,CONTRACTUAL SERVICES,555.00,8/4/2022
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,4872.24,6/24/2022
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,245.00,7/7/2022
AVONDALE INVESTORS LLC,FACILITY RENTAL,26265.00,8/23/2022
DAVIS BANCORP,FINANCIAL & TREAS SVCS,142058.56,9/22/2022
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,36870.65,2/1/2022
"WISCO, INC.",MAINTENANCE & REPAIRS,176.42,7/14/2022
"DATA TEC SYSTEMS, INC.",CONTRACTUAL SERVICES,1632.00,1/27/2022
"LANER, MUCHIN, DOMBROW, BECKER,",LEGAL COSTS,1620.00,1/27/2022
DELL MARKETING L.P.,TECHNOLOGY SERVICES,76840.00,2/17/2022
AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,TRAVEL & MEETING EXPENSE,1100.00,9/30/2022
ABA FUND FOR JUSTICE AND EDUCATION,GENERAL EXPENSES,750.00,1/27/2022
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1070.87,5/12/2022
NSH USA CORPORATION,DIRECT PURCHASES,12730.00,6/21/2022
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,1780.00,2/1/2022
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,6740.00,1/19/2022
COMPASS MINERALS AMERICA INC,DIRECT PURCHASES,6978.97,9/21/2022
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1090.22,5/26/2022
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,120.00,3/29/2022
CORPORATE CONCEPTS INC,GENERAL EXPENSES,2242.23,6/30/2022
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,522.06,8/4/2022
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,32681.36,1/10/2022
MP2 ENERGY NE LLC,UTILITIES EXPENSE,4479.13,8/30/2022
DAVID WISE,CONTRACTUAL SERVICES,12800.00,3/3/2022
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,3/24/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,6/9/2022
KONE SPARES,DIRECT PURCHASES,1578.00,5/5/2022
DUPAGE COUNTY SHERIFF,LEGAL COSTS,50.00,8/18/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,10549.37,2/17/2022
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,773007.96,4/5/2022
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,6293.70,4/7/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,16325.27,6/16/2022
VTECH SOLUTION INC,CONTRACTUAL SERVICES,2655.00,7/14/2022
Konecranes,MAINTENANCE & REPAIRS,1282.50,1/5/2022
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,21125.00,7/21/2022
Tribologik Corp,CONTRACTUAL SERVICES,6232.00,4/21/2022
CLAREMONT LLC,CONTRACTUAL SERVICES,2548.45,5/19/2022
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,1542.93,9/29/2022
"ZIPCAR, INC.",EQUIPMENT RENTAL,1057.72,1/27/2022
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,67297.00,2/15/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,10166.04,3/29/2022
CHICAGO TRIBUNE,GENERAL EXPENSES,159.92,8/4/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,1540.00,9/22/2022
MORTON SALT COMPANY,DIRECT PURCHASES,9765.33,2/10/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,56704.84,2/17/2022
"ESRI, INC.",MAINTENANCE & REPAIRS,35094.00,1/13/2022
"PROMPT ELECTRIC, INC.",MAINTENANCE & REPAIRS,2935.00,3/1/2022
GENUINE PARTS COMPANY (NAPA),CONSULTING,149054.00,6/2/2022
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,18746.37,8/18/2022
"THOMPSON COBURN, LLC",LEGAL COSTS,11682.00,3/8/2022
OPTUM 360,GENERAL EXPENSES,134.90,7/7/2022
"WISCO, INC.",MAINTENANCE & REPAIRS,854.36,9/22/2022
"GENFARE, A DIVISION OF SPX CORPORATION",DIRECT PURCHASES,84666.67,6/24/2022
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,448.00,5/26/2022
VTECH SOLUTION INC,CONSULTING,6400.00,6/2/2022
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,330.00,3/10/2022
AMALGAMATED BANK OF CHICAGO.,FINANCIAL & TREAS SVCS,9656.41,6/9/2022
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,DIRECT PURCHASES,28575.33,7/21/2022
ACCO BRANDS USA LLC,MAINTENANCE & REPAIRS,39893.98,2/10/2022
VILLAGE OF RIVER GROVE,UTILITIES EXPENSE,126.79,2/24/2022
RELIABLE FIRE EQUIPMENT CO,MAINTENANCE & REPAIRS,4291.53,4/20/2022
"*MOTR GRAFX, LLC",EQUIPMENT RENTAL,3050.00,7/29/2022
TAB SERVICE COMPANY,GENERAL EXPENSES,2720.46,8/18/2022
PNC BANK,TECHNOLOGY SERVICES,384.00,8/16/2022
"*ALVAREZ, INC.",CONTRACTUAL SERVICES,32277.80,8/16/2022
CINTAS CORPORATION,DIRECT PURCHASES,95.54,1/19/2022
DAVID WISE,CONTRACTUAL SERVICES,13440.00,2/1/2022
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,2/17/2022
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,49.09,1/27/2022
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,731.31,6/9/2022
AVONDALE INVESTORS LLC,FACILITY RENTAL,26265.00,8/9/2022
AMALGAMATED BANK OF CHICAGO,FINANCIAL & TREAS SVCS,947.48,4/21/2022
"THE MCS GROUP, INC.",ADMINISTRATION & HR,69.70,5/19/2022
"CROWE, LLP",FINANCIAL & TREAS SVCS,120000.00,6/2/2022
AICPA,GENERAL EXPENSES,315.00,9/12/2022
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,5708.33,1/27/2022
PLANET DEPOS LLC,LEGAL COSTS,482.77,7/7/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,12323.65,3/8/2022
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,1981.00,4/13/2022
"*MACK CONSTRUCTION SERVICES, LLC",MAINTENANCE & REPAIRS,115534.68,2/17/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,5479.41,9/13/2022
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,4/14/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,270.00,4/4/2022
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,7570.15,7/5/2022
"HERITAGE-CRYSTAL CLEAN, LLC",DIRECT PURCHASES,1280.00,1/19/2022
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,45118.53,1/6/2022
"WISCO, INC.",DIRECT PURCHASES,457.54,5/19/2022
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,13714.67,8/25/2022
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,385.67,4/28/2022
CDW GOVERNMENT LLC,DIRECT PURCHASES,417.48,9/20/2022
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,60855.00,3/24/2022
"GENFARE, A DIVISION OF SPX CORPORATION",MAINTENANCE & REPAIRS,33958.35,8/11/2022
MASTERGRAPHICS,ADVERTISING & PROMOTION,25635.00,2/3/2022
"*GALAXY ENVIRONMENTAL, INC.",MAINTENANCE & REPAIRS,46088.88,7/7/2022
"RADICOM, INC.",MAINTENANCE & REPAIRS,6725.00,7/19/2022
"MYERS SERVICE, INC.",LEGAL COSTS,1040.00,9/1/2022
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,22355.00,1/10/2022
"WISCO, INC.",DIRECT PURCHASES,415.15,7/7/2022
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,2002.90,4/26/2022
MID-WEST SIGN SUPPLY CO,MAINTENANCE & REPAIRS,3837.38,3/8/2022
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,16593.53,7/14/2022
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,43637.95,2/1/2022
SOCIETY FOR TECHNICAL COMMUNICATION,GENERAL EXPENSES,280.00,5/12/2022
"JUST ELEVATOR INSPECTION SERVICE, INC.",MAINTENANCE & REPAIRS,9380.00,9/22/2022
MYERS & BRIGGS FOUNDATION,TRAVEL & MEETING EXPENSE,5828.00,6/23/2022
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",GENERAL EXPENSES,1357.40,9/1/2022
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,4608.36,1/27/2022
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,1074.00,7/14/2022
JMKOC LLC,ADMINISTRATION & HR,750.00,7/7/2022
LEXITAS,GENERAL EXPENSES,2535.89,9/1/2022
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,5/19/2022
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,5708.33,5/26/2022
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,428.00,6/16/2022
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,88.67,7/7/2022
KONE SPARES,DIRECT PURCHASES,1684.24,7/26/2022
KONE SPARES,DIRECT PURCHASES,10086.60,9/29/2022
BARR MANAGEMENT LTD,GENERAL EXPENSES,754.80,3/10/2022
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,7/14/2022
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,844.25,1/19/2022
"*NSN EMPLOYER SERVICES, INC.",CONTRACTUAL SERVICES,10491.00,4/28/2022
US BANK,FINANCIAL & TREAS SVCS,750.00,9/8/2022
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,1659.69,9/22/2022
PACE SUBURBAN BUS SERVICE,DIRECT PURCHASES,4718.00,1/27/2022
SHARON D WINKFIELD,GENERAL EXPENSES,23193.63,9/29/2022
MP2 ENERGY NE LLC,UTILITIES EXPENSE,853651.90,3/17/2022
"THOMPSON COBURN, LLC",LEGAL COSTS,1888.00,5/17/2022
NOETIX CORPORATION,MAINTENANCE & REPAIRS,72100.00,2/3/2022
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,329775.72,1/19/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,97964.66,4/7/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,13683.07,3/31/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,15536.64,7/5/2022
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,957.22,7/14/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,37896.45,9/13/2022
STAPLES ADVANTAGE,DIRECT PURCHASES,32726.72,9/29/2022
"OER SERVICES, LLC",EQUIPMENT RENTAL,4325.00,2/24/2022
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,77656.66,4/5/2022
"MOBILE MINI, INC",EQUIPMENT RENTAL,330.00,4/21/2022
CLAREMONT LLC,CONTRACTUAL SERVICES,740.00,6/16/2022
CHICAGO POLICE DEPARTMENT,PURCHASE OF SECURITY SERVICES,563372.42,5/31/2022
CDM SMITH INC.,CONTRACTUAL SERVICES,1525.00,3/8/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,800.00,4/28/2022
TITO YAO M.D. S.C,ADMINISTRATION & HR,500.00,7/14/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1014.95,8/4/2022
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,3530.02,8/2/2022
"MOBILE MINI, INC",EQUIPMENT RENTAL,5831.00,4/11/2022
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,5/26/2022
MEDIAAGILITY INC,TECHNOLOGY SERVICES,2627.61,3/14/2022
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,473222.50,4/14/2022
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,2218.45,8/16/2022
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,769.60,9/22/2022
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,17110.00,7/7/2022
CUMMINS INC.,MAINTENANCE & REPAIRS,305.40,8/30/2022
"*ALVAREZ, INC.",MAINTENANCE & REPAIRS,7783.18,7/7/2022
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,352.00,6/16/2022
89TH ST PROPERTIES LLC,FACILITY RENTAL,27968.92,3/3/2022
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,865.39,6/30/2022
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,201398.00,9/8/2022
CITY OF EVANSTON,UTILITIES EXPENSE,679.70,8/11/2022
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,2163.10,8/9/2022
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,2500.00,8/9/2022
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",PURCHASE OF SECURITY SERVICES,170001.31,7/19/2022
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,9394.80,1/13/2022
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,4510.00,5/5/2022
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1436.48,8/11/2022
FOREST PARK POLICE DEPT.,PURCHASE OF SECURITY SERVICES,2997.80,3/3/2022
"ENVIROPLUS, INC.",MAINTENANCE & REPAIRS,4507.00,1/13/2022
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,3250.00,5/10/2022
"ARAMARK UNIFORM SERVICES, INC.",CONTRACTUAL SERVICES,105.32,1/5/2022
"U.S. LEGAL SUPPORT, INCORPORATED",LEGAL COSTS,184.00,1/27/2022
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,718382.69,1/5/2022
NORTHERN ILLINOIS GAS,UTILITIES EXPENSE,9476.56,6/9/2022
AMERICAN INSURANCE SERVICES GROUP,CONTRACTUAL SERVICES,169.50,4/28/2022
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60.00,8/18/2022
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60.00,8/18/2022
PEOPLES GAS,UTILITIES EXPENSE,9023.76,7/26/2022
BEBON OFFICE MACHINES CO.,MAINTENANCE & REPAIRS,1980.00,8/18/2022
